epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,12495.8,1.78241,1.21654,0.00531,0.69163,0.71895,0.73401,0.36336,1.72744,0.91254,0.01314,0.00404275,0.00134758,0.00404275,0.00134758,0.00404275,0.00134758,0.00404275,0.00134758
31,12848,1.76511,1.19158,0.00538,0.83091,0.65555,0.76647,0.38462,1.71226,0.86093,0.01284,0.00398056,0.00132685,0.00398056,0.00132685,0.00398056,0.00132685,0.00398056,0.00132685
32,12963.3,1.75652,1.14365,0.00519,0.86839,0.72359,0.79567,0.3867,1.7415,0.82902,0.01307,0.00391694,0.00130565,0.00391694,0.00130565,0.00391694,0.00130565,0.00391694,0.00130565
33,13080.5,1.76754,1.19747,0.00559,0.74234,0.70696,0.7396,0.36551,1.70589,0.90063,0.01249,0.00385194,0.00128398,0.00385194,0.00128398,0.00385194,0.00128398,0.00385194,0.00128398
34,13200.5,1.76607,1.14328,0.0053,0.78073,0.68928,0.76605,0.38287,1.71177,0.83119,0.01261,0.00378563,0.00126188,0.00378563,0.00126188,0.00378563,0.00126188,0.00378563,0.00126188
35,13316.8,1.75728,1.14436,0.00518,0.7888,0.65757,0.74026,0.37498,1.69867,0.94678,0.01232,0.00371808,0.00123936,0.00371808,0.00123936,0.00371808,0.00123936,0.00371808,0.00123936
36,13432.1,1.75564,1.12315,0.00524,0.78163,0.73769,0.78118,0.39054,1.73246,0.82581,0.01292,0.00364936,0.00121645,0.00364936,0.00121645,0.00364936,0.00121645,0.00364936,0.00121645
37,13548,1.74608,1.13132,0.00527,0.76206,0.71957,0.75291,0.37006,1.73911,0.86162,0.01343,0.00357952,0.00119317,0.00357952,0.00119317,0.00357952,0.00119317,0.00357952,0.00119317
38,13663.1,1.74405,1.14362,0.00529,0.78452,0.73051,0.78431,0.37844,1.72226,0.87003,0.01392,0.00350864,0.00116955,0.00350864,0.00116955,0.00350864,0.00116955,0.00350864,0.00116955
39,13778.6,1.74985,1.05913,0.00502,0.75154,0.71729,0.76117,0.38953,1.71302,0.82433,0.01287,0.0034368,0.0011456,0.0034368,0.0011456,0.0034368,0.0011456,0.0034368,0.0011456
40,13894.1,1.7592,1.10967,0.00515,0.79886,0.73094,0.77844,0.37942,1.73562,0.8106,0.01303,0.00336405,0.00112135,0.00336405,0.00112135,0.00336405,0.00112135,0.00336405,0.00112135
41,14011,1.73995,1.08148,0.00504,0.74735,0.76369,0.78108,0.38352,1.70612,0.80547,0.01302,0.00329048,0.00109683,0.00329048,0.00109683,0.00329048,0.00109683,0.00329048,0.00109683
42,14127.9,1.74035,1.08573,0.00505,0.73136,0.74479,0.77777,0.38036,1.73395,0.81961,0.01335,0.00321615,0.00107205,0.00321615,0.00107205,0.00321615,0.00107205,0.00321615,0.00107205
43,14243.5,1.71713,1.0457,0.0052,0.77885,0.7154,0.77253,0.39477,1.71728,0.80789,0.0125,0.00314114,0.00104705,0.00314114,0.00104705,0.00314114,0.00104705,0.00314114,0.00104705
44,14359.1,1.71352,1.04921,0.00522,0.80756,0.70187,0.75884,0.38621,1.70119,0.8327,0.01261,0.00306552,0.00102184,0.00306552,0.00102184,0.00306552,0.00102184,0.00306552,0.00102184
45,14475.1,1.73003,1.07245,0.00504,0.74947,0.74903,0.77934,0.37725,1.74414,0.8255,0.01295,0.00298937,0.000996456,0.00298937,0.000996456,0.00298937,0.000996456,0.00298937,0.000996456
46,14591.7,1.73435,1.05671,0.00507,0.81685,0.75968,0.81319,0.40263,1.73667,0.76607,0.01354,0.00291276,0.000970919,0.00291276,0.000970919,0.00291276,0.000970919,0.00291276,0.000970919
47,14707.3,1.72135,1.06702,0.00501,0.77221,0.70099,0.77127,0.3896,1.72979,0.78858,0.01324,0.00283577,0.000945256,0.00283577,0.000945256,0.00283577,0.000945256,0.00283577,0.000945256
48,14823,1.71728,1.02934,0.00485,0.83594,0.72884,0.80148,0.40309,1.71935,0.76121,0.01255,0.00275847,0.00091949,0.00275847,0.00091949,0.00275847,0.00091949,0.00275847,0.00091949
49,14939.3,1.70664,1.00189,0.00494,0.83005,0.7513,0.80394,0.40306,1.7035,0.77993,0.01182,0.00268094,0.000893648,0.00268094,0.000893648,0.00268094,0.000893648,0.00268094,0.000893648
50,15055.3,1.72063,1.00134,0.00504,0.83294,0.75607,0.82181,0.41969,1.68709,0.76076,0.01165,0.00260326,0.000867754,0.00260326,0.000867754,0.00260326,0.000867754,0.00260326,0.000867754
51,15171.8,1.71006,0.98658,0.00469,0.75866,0.79086,0.80052,0.41365,1.6869,0.77061,0.01215,0.00252551,0.000841835,0.00252551,0.000841835,0.00252551,0.000841835,0.00252551,0.000841835
52,15288.2,1.69238,0.98832,0.00474,0.80432,0.75596,0.81683,0.42951,1.68047,0.74809,0.01191,0.00244775,0.000815916,0.00244775,0.000815916,0.00244775,0.000815916,0.00244775,0.000815916
53,15406.7,1.7003,0.99239,0.00481,0.83412,0.78233,0.83499,0.4396,1.66725,0.75892,0.01126,0.00237007,0.000790022,0.00237007,0.000790022,0.00237007,0.000790022,0.00237007,0.000790022
54,15527.9,1.7068,0.98207,0.00466,0.81745,0.73193,0.80718,0.41669,1.72937,0.73011,0.01303,0.00229254,0.00076418,0.00229254,0.00076418,0.00229254,0.00076418,0.00229254,0.00076418
55,15645.2,1.69108,0.96722,0.00469,0.80117,0.77728,0.80078,0.40766,1.72727,0.75136,0.01287,0.00221524,0.000738414,0.00221524,0.000738414,0.00221524,0.000738414,0.00221524,0.000738414
56,15761.6,1.67081,0.97791,0.00466,0.84201,0.71527,0.79377,0.40791,1.71318,0.74872,0.01236,0.00213825,0.000712751,0.00213825,0.000712751,0.00213825,0.000712751,0.00213825,0.000712751
57,15877.4,1.67182,0.98843,0.00466,0.7943,0.80868,0.79553,0.40381,1.70591,0.75481,0.01248,0.00206164,0.000687214,0.00206164,0.000687214,0.00206164,0.000687214,0.00206164,0.000687214
58,15993,1.67745,0.96599,0.00488,0.83904,0.7751,0.82024,0.42025,1.70012,0.73112,0.01212,0.00198549,0.000661831,0.00198549,0.000661831,0.00198549,0.000661831,0.00198549,0.000661831
